id_brand,brand
0,QUILQUE
1,COLUN
2,WINTER
3,CUISINE & CO
4,RECETA DEL ABUELO
5,PF
7,SOPRAVAL
8,RÍO BUENO
9,LAS PARCELAS DE VALDIVIA
10,PHILADELPHIA
11,SAN JORGE
12,LOS ALERCES
13,LA PREFERIDA
14,SOPROLE
15,SUPER POLLO
16,MONTINA
17,SCHWENCKE
18,LA MONTINA
19,SUPER CERDO
20,LLANQUIHUE
21,MATTHEI
22,GREENBAY
23,SURLAT
24,CALO
25,LOS ALPES
26,QUILLAYES
27,RIKÜ
28,BERGADER
29,LA VAQUITA
30,LA CRIANZA
31,HUILCO
32,LÁCTEOS CHAUQUÉN
33,SANTA ROSA
34,CHILLÁN
35,VALLE DEL NORTE
36,MORINGA
37,BUDAPEST
38,VEVAN
39,LOS TILOS
40,DOS CASTAÑOS
41,LÁCTEOS VALDIVIA
42,CYMSA
43,LA PIARA
44,OLIOMIO
45,GRANAROLO
46,LA CABRESA
47,CALLAQUI
48,PAHUILMO
49,PRESIDENTE
50,MAASDAMMER
51,SAN PABLO
52,ILE DE FRANCE
53,SAN BENITO
54,MISTER VEGGIE
55,VELDHUYZEN
56,VIOLIFE
57,PRESIDENT
58,RANCO
59,LATTERIA SORESINA
60,LA ROTUNDA
61,BASIRON
62,SAN RAFAEL
63,TRUJILLO
64,LA ANTIGUA JAMONERÍA
65,IDEAL
66,PANADERÍA PROPIA
67,PAN PIERRE
68,SANTA ISABEL
69,FUCHS
70,PANCHO VILLA
71,KINGSBURY
72,TÍA ROSA
73,CASTAÑO
74,CENA
75,STUTTGART FUCHS
76,PULMAHUE
77,SALMAS
78,VALENTINA
79,KUCHENMEISTER
80,MARINELA
81,LA SELECTA
82,MANKEKE
83,NUTRA BIEN
84,DEL MONTE
85,PIACCERI
86,MÁXIMA
87,LAGOS DEL SUR
88,COSTA
89,MESTEMACHER
90,NO+GLUTEN
91,DAN CAKE
92,NUTRISA
93,GRANFORNO
94,DACCARETT
95,BAKERI
96,LEIMER
97,MACRODELI
98,DOLCEZZE
99,DILICI
100,NOGLUT
101,TIKA
102,BAUDUCCO
103,CONVIDA
104,QUAKER
105,IANSA
106,SUPREMO
107,OREO
108,SELZ
109,MCKAY
110,TRENCITO
111,ARCOR
112,CLUB SOCIAL
113,MILDRED TEA
114,NESTLÉ
115,VIVO
116,MILO
117,NOT CHICKEN
118,NOT BURGER
119,FRUTOS DEL MAIPO
120,MINUTO VERDE
121,SUPER BEEF
122,SAVORY
123,KING
124,SADIA
125,TRENDY
126,CHAMONIX
127,SAHNE NUSS
128,PANDA
129,SAN FRANCISCO DE LONCOMILLA
130,ZOLE
131,TURKEY HILL
132,VIENNETTA BRESLER
133,GUALLARAUCO
134,MAGNUM
135,SABOR PERUANO
136,CARTE DOR
137,BRESLER
138,COPPELIA
139,NOT ICE CREAM
140,BRAVISSIMO
141,YOGEN FRUZ
142,ROCK
143,FIESTA
144,ITALGELATO
145,FORNO
146,TRAVERSO
147,TIVONI
148,EMUWIPES
149,NIDO
150,NESTLÉ NATURNES
151,PAMPERS
152,SIMONDS
153,BABY LEE
154,HUGGIES
155,BABYSEC
156,NESTUM
157,BABYLAND
158,AMA
159,FAMILY CARE
160,NIDAL
161,DOVE
162,NIVEA
163,SIMOND'S
164,PEPSODENT
165,BELLEKISS
166,HERBAL ESSENCES
167,AROMO
168,BALLERINA
169,LE SANCY
170,KOTEX
171,COLGATE
172,CAREFREE
173,PANTENE
174,LADYSOFT
175,LINIC
176,NOSOTRAS
177,GISELLE
178,FAMILAND
179,FRUCTIS
180,NATURELLA
181,GILLETTE
182,ELITE
183,KADUS
184,HEAD & SHOULDERS
185,BROOKS
186,SENSODYNE
187,ORAL-B
188,AQUAFRESH
189,TÍO NACHO
190,ALWAYS
191,BIO
192,REXONA CLINICAL
193,ELVIVE
194,DENTO
195,DURALÓN
196,PLENITUD
197,PROTEX
198,ORAL FRESH
199,LADY SPEED STICK
200,TRIANON
201,REXONA
202,JOHNSON & JOHNSON
203,PALMOLIVE
204,AXE
205,REXONA MEN CLINICAL
206,TENA
207,VANART
208,COTIDIAN
209,SEDAL
210,DOVE MEN
211,GARNIER
212,LISTERINE
213,SPEED STICK
214,PIELARMINA
215,BIC
216,NEUTROGENA
217,SCHICK
218,UMAI
219,REXONA MEN
220,NUTRISSE
221,ILICIT
222,VANITY
223,MILLEFIORI
224,DETTOL
225,OLD SPICE
226,LECHUGA
227,TAMPAX
228,ALONDRA
229,KADY
230,ETIQUET
231,JEAN LES PINS
232,STUDIO LINE
233,CASTING
234,NATALIE
235,HERBAL CLASSIC
236,LUBRIDERM
237,TEATRICAL
238,BIDEX
239,EXCELLENCE
240,DUO
241,VENUS
242,VEET
243,KOLESTON
244,ORIGINAL REMEDIES
245,HELLO
246,ASEPXIA
247,NIVEA MEN
248,PLAISANCE
249,PETRIZZIO
250,SWISS BEAUTY
251,BENTLEY
252,GELATTI
253,L'OREAL
254,COTOBEL
255,INGLESA 451
256,ITZY
257,PANTENE NUTRIENT BLENDS
258,GOICOECHEA
259,DOVE CLINICAL
260,CORAL
261,CICATRICURE
262,DERMO EXPERTISE
263,LE PETIT OLIVIER
264,IMAGINAIL
265,MAYBELLINE
266,MEN EXPERT
267,PREFACE
268,REVIE
269,FAITH IN NATURE
270,BÍ-O
271,EMUMED
272,MRS. MEYER´S
273,DEPILFLAX
274,GELATTI KIDS
275,WET ONES
276,MASTER CAT
277,IMEXPORTA
278,CACHUPIN
279,MASTER DOG
280,PEDIGREE
281,CHAMPION CAT
282,WHISKAS
283,CHAMPION DOG
284,SABROKAN
285,CAT CHOW
286,DOG CHOW
287,CANNES
288,CUBICAT
289,FELINNES
290,STAY HAPPY
291,FELIX
292,PET'S FUN
293,PURINA ONE
294,AILENCUTRAL ESPINO
295,BEEF MAKER
296,ALUSA
297,DROP IT
298,LA FACILITA
299,DURACELL
300,SIN MARCA
301,KREA
302,CHEAP
303,ARGOS
304,JUMBO
305,ELY
306,GLADE AUTO SPORT
307,GLADE
308,CHILEAN TRADING
309,BIOELY
310,MEGABRIGHT
311,LA GOTITA
312,PHILLIPS
313,AGUACOL
314,OSTER
315,3M
316,KLÄREN
317,WESTINGHOUSE
318,HAPPY DAYS
319,RASTOP
320,POXIPOL
321,FERRIPALDI
322,TEAM
323,KIT
324,M2
325,LITTLE TREES
326,RAYOVAC
327,NEX
328,ANASAC
329,SINDELEN
330,ENERGIZER
331,RITTIG
332,HENKELL
333,REMA
334,TANAX
335,R66
336,EL GOLFO
337,MAR VERDE
338,AQUA
339,SAN JOSÉ
340,BREDENMASTER
341,CORBAC
342,LA COMPAÑÍA
343,RANA
344,SOLO ITALIA
345,GENIAL
346,DFAB
347,NOT MILK
348,VILAY
349,ADES
350,ORASI
351,LONCOLECHE
352,VIVI COSI
353,ALMOND BREEZE
354,NATURE'S HEART
355,LIGHT & FREE
356,CINTAZUL
357,1+1 SOPROLE
358,QUALY
359,SANTA MARTA
360,OIKOS
361,CALAN
362,ASTRA
363,SUREÑA
364,YEMITA
365,SVELTY
366,CHAMYTO
367,DELINE
368,NEXT
369,SOPROLE YOGHITO
370,ARIZTÍA
371,ACTIVIA
372,CHIQUITÍN
373,CRUCINA
374,LEFERSA
375,YOGU - YOGU
376,PAMPERITA
377,MARCO POLO
378,COLLICO
379,ZEROLACTO
380,REGIMEL
381,KUMEY
382,DANONE
383,LA GRANJA
384,NESQUIK
385,OMEGA 3
386,MÁXIMA MP
387,DORINA
388,SHAKE A SHAKE LONCO LECHE
389,COPACABANA
390,WILD
391,BASE CULINAR
392,COLA CAO
393,KERRYGOLD
394,LAYS
395,LOBOS
396,TUCAPEL
397,TALLIANI
398,MONT BLANC
399,CAROZZI
400,MALLOA
401,HELLMANN'S
402,EVERCRISP
403,ROBINSON CRUSOE
404,LUCCHETTI
405,MIRAFLORES
406,KRAFT
407,MAGGI
408,CHEF
409,BANQUETE
410,NATURA
411,BELMONT
412,TRATTORIA
413,KRYZPO
414,GOURMET
415,WATT'S
416,DOÑA CLARA
417,ROYAL
418,ANGELMO
419,HELLMANN'S SUPREME
420,IMPERIAL
421,POMAROLA
422,VAN CAMP'S
423,WASIL
424,MARTINI
425,SELECTA
426,OLITALIA
427,HEINZ
428,MAIZENA
429,CAMPO LINDO
430,MILLANTÚ
431,DON JUAN
432,FRAGATA
433,LIVEAN
434,P.A.N.
435,BELLA HOLANDESA
436,SPECHT
437,EXOTIC FOOD
438,ACONCAGUA
439,HOFFMANN
440,ACT II
441,BRAVO
442,JB
443,MAMMA MIA
444,MARUCHAN
445,HELLMANN'S DELI
446,MI TIERRA
447,TERRA SANTA
448,OSO
449,HUASCO
450,IANSA AGRO
451,AMBROSOLI
452,CARICIA
453,BRAVO CREAM
454,ESMERALDA
455,CASTILLO
456,NATUREZZA
457,GRANUTS
458,TAKIS
459,VAN COOK
460,PARMALAT
461,PEARL RIVER BRIDGE
462,NOT MAYO
463,AMERICAN CLASSIC
464,PERFECT CHOICE
465,BIOSAL
466,BONANZA
467,MAZZETTI
468,MONTECRISTO
469,DOÑAREPA
470,GLORIA
471,CASA VERDE
472,BRAGG
473,MUTTI
474,GRAN AREPA
475,ALCAFOOD
476,SAMUI
477,LA FUENTE NATURAL
478,LEVAMAS
479,INKA CHIPS
480,INFERNO
481,EN LÍNEA
482,INKA CORN
483,LORENZ
484,ALACENA
485,ORGRAN
486,DAILY
487,RETRO SNACK
488,DEYCO
489,CHOVI
490,KÜHNE
491,CARMENCITA
492,COCK BRAND
493,PURIPOP
494,BRIDGE PEARL RIVER
495,ALTO LA CRUZ
496,DE LA ROSA
497,BUKA
498,RED SPOON
499,PRINGLES
500,NORY
501,VIGILANTE
502,INKA CROPS
503,MIZOS
504,HIPS
505,MANARE
506,JARDIN ANDES
507,TABASCO
508,KIKKOMAN
509,PERELLÓ
510,LA MOLISANA
511,LA COSTEÑA
512,KAZAI
513,NUCETE
514,FRUTISA
515,BABY RAYS
516,THAI
517,DE CAMACHO
518,HUNT'S
519,BEORGANICS
520,ISOLA BIO
521,BOB'S RED MILL
522,PROVENZAL
523,BORNIER
524,PALMIPASTA
525,SUK
526,SNYDERS
527,MI PLANTA MORRÓN
528,EGGLESS
529,PASSAGE FOODS
530,LOCOS POR EL ASADO
531,SCHWARTAU
532,PALMIRICE
533,IMPERATORE
534,FRUTAS Y VERDURAS PROPIAS
535,FRUTAS Y VERDURAS SANTA ISABEL
536,TRIBU
537,AGROSANO
538,DOLE
539,GERMALIMP
540,EMPORIA NUTS
541,GRANEL
542,AL VACÍO
543,AMERICANO
544,BORDÓN
545,COOK & FUN
546,LEBON
547,ESTADOS UNIDOS
548,TAK
549,MARFRIG
550,SUPERIOR
551,NOVA
552,HOME CARE
553,CONFORT
554,SWAN
555,ABOLENGO
556,FUZOL
557,CLOROX
558,CIF
559,ACE
560,FAVORITA
561,OMO
562,CLORINDA
563,COPIHUE
564,SCOTT
565,IGENIX
566,RINSO
567,VIRUTEX
568,POETT
569,IMPEKE
570,LYSOFORM
571,DOWNY
572,FIBRO
573,MAXIMA
574,VIRGINIA
575,GLASSEX
576,HARPIC
577,MAGISTRAL
578,POPEYE
579,SOFT
580,ARIEL
581,ANDES
582,EXCELL
583,PATO PURIFIC
584,GRAN COPIHUE
585,BIOFRESCURA
586,MANLAC
587,LUMINOSA
588,VANISH
589,QUIX
590,PUERTO VARAS
591,COMFORT
592,BRILLINA VIRGINIA
593,WYN
594,MR. MÚSCULO
595,LYSOL
596,ALEX
597,DRIVE
598,AROM
599,AIR WICK
600,GRAN ANDES
601,SUN
602,RAID
603,BASULIP
604,KILLER
605,NUGGET
606,SANTA LUCIA
607,D-WIPES
608,SANYTOL
609,DAWN
610,MR MUSCULO
611,VILEDA
612,BOLSAS REUTILIZABLES
613,KH-7
614,SCOTCH BRITE
615,SPONTEX
616,CENCOSUD
617,FROSCH
618,COCA-COLA
619,SPRITE
620,BENEDICTINO
621,CACHANTUN
622,FANTA
623,PEPSI
624,VITAL
625,AQUARIUS
626,MAS
627,DEL VALLE
628,KEM
629,LIMÓN SODA
630,GATORADE
631,BILZ
632,PAP
633,NORDIC MIST
634,CANADA DRY
635,MONSTER
636,ZUKO
637,RED BULL
638,7UP
639,INKA KOLA
640,LIPTON
641,SPRITE ZERO
642,ORANGE CRUSH
643,POWERADE
644,MR. BIG
645,SPRIM
646,KEM XTREME
647,SUEROX
648,YUZ
649,LIMON SODA LIGHT
650,FANTA ZERO
651,FRUGO
652,CANADA DRY ZERO
653,OKF
654,IMPERDIBILE
655,CITRIC
656,BURBUJÍN
657,DR. PEPPER
658,ANDINA
659,PONY MALTA
660,KAPO
661,PUYEHUE
662,AFE
663,KOMBUCHACHA
664,HOLA HOSAN
665,BLESS
666,FENTIMANS
667,INCA KOLA
668,HOMEMAKER
669,LOVE LEMON
670,BILZ ZERO
671,GUARANÁ
672,PAP ZERO
673,NATURAL MAQUI
674,CRUSH LIGHT
675,CRUSH
676,SOFRUCO
677,DON SIMON
678,EVIAN
679,IRONADE
680,NA
681,WATERWIPES
682,BABY MUM MUM
683,ZEUKID
684,SMILEY KIDS
685,BIO BABY
686,D' HIPOGLÓS
687,BATITU
688,SIMILAC
689,JOHNSON
690,ENSURE
691,NAN
692,GOODNITES
693,PEDIASURE
694,L'ORÉAL KIDS
695,GERBER
696,AMMEN
697,PIGEON
698,BABY SOLUTIONS
699,WELEDA
700,PROMAM
701,NESSUCAR
702,AVENT
703,AVENGERS
704,PARA MI BEBÉ
705,JOHNSON'S BABY
706,MUSTELA
707,BAMBINO
708,NUK
709,ARDO
710,GLUCERNA
711,FROZEN
712,MAM
713,BABELITO
714,DESITIN
715,NENEGLÓSS
716,NARIKLIN
717,LANSINOH
718,MULTI-MAM
719,ORGANYC
720,ALL OUT
721,HEVEA
722,P. SAN MARTÍN
723,BETER
724,OSHEE
725,BABYGANICS
726,SPESIALISIMO
727,BEPANTHOL
728,EAU MY LLAMA
729,MEGA
730,FRANUI
731,BEYOND MEAT
732,ALIMENTOS SHEN
733,MOLLENDO
734,VEGE STYLE
735,A PUNTO
736,SOUTH WIND
737,CUK
738,YOGEN FRÜZ
739,PALETTAS
740,PROCARNE
741,MYCOBITES
742,GARDEIN
743,ACAI
744,HÄAGEN DAZS
745,SABORES SIN CULPA
746,GREEN ICE
747,CAMPO VERDE
748,EMPORIO LA ROSA
749,PROTEIN ICE
750,POW! FOODS
751,ARTISAN
752,MARVEST
753,LIVE GREEN
754,MEATLESS
755,ZENZERO
756,CHOCORISIMO
757,HUNGRY PETER
758,NESTLÉ EL MANJAR
759,FORNO MINAS
760,BEN & JERRY'S
761,SINOMIE
762,ANHELADO
763,ALPHAFOOD
764,LIGHTLIFE
765,EDWARDS
766,CARTE D´OR
767,FREDDO
768,DAIYA
769,CAPITAL BLEND
770,BIANCOLATTE
771,TALENTI
772,CREAMLAB
773,KITCHEN & LOVE
774,MEADOW GOLD
775,HALO TOP
776,MILKA
777,NESCAFÉ
778,DOS EN UNO
779,PILLOWS
780,DILMAH
781,TWININGS
782,DOLCE GUSTO
783,CALAF
784,ECOVIDA
785,MANI KING
786,NUTELLA
787,CHOCAPIC
788,VICENZI CHAMPAGNE
789,GOLD
790,NATUR
791,FITNESS
792,CRUZEIRO
793,GRIESSON DUO
794,KUPIEC
795,CORN FLAKES
796,GULLÓN
797,CEREAL BAR
798,KELLOGG'S
799,TRIX
800,JUAN VALDEZ
801,HEIDEKEKS
802,KARINA
803,DELICIOSA
804,AGUA DE PIEDRA
805,CAFÉ D' AROMA
806,HAITI
807,SNICKERS
808,NAT CRACKERS
809,RICECRISPS
810,LAGUITO
811,ALUSWEET
812,MERELLO
813,MARLEY
814,GUSTINO
815,STARBUCKS
816,ORBIT
817,YOUR
818,ORLY
819,SOUL BAR
820,COFFE-MATE
821,CUA CUA
822,ENGLISH TEA SHOP
823,GOTTENA
824,NATURE VALLEY
825,M&M'S
826,HERSHEY'S
827,IZKOL
828,IANSA CERO K
829,AFTER EIGHT
830,MARLEY COFFEE
831,NATURALIST
832,ECCO
833,SKITTLES
834,ST DALFOUR
835,CEREALITAS
836,MONTERREY
837,CAPRI
838,VICENCI GRISBI
839,VALOR
840,KINDER
841,KELLOGGS
842,LA VIEJA FÁBRICA
843,ECKART
844,RIGOCHOC ARCOR
845,FINI
846,BICENTURY
847,QI-POP
848,ESTRELLITAS
849,JACOBS
850,LAMBERTZ
851,CHINA TE VERDE
852,SANISSIMO
853,FERRERO ROCHER
854,DULCONO ROMA
855,LINDT
856,MELITTA
857,ZENTIS
858,VIOLA
859,DAILY SWEET
860,STASH
861,COCALAN
862,QUILVO
863,BISCOFF
864,BENLIAN
865,BONNE MAMAN
866,TRIDENT
867,AKBAR
868,GULLON
869,GROSSO
870,RITTER SPORT
871,FERRERO
872,CAVENDISH & HARVEY
873,ALEJANDRIA
874,TAGATESSE
875,CORNY FREE
876,JARDÍN DE LOS ANDES
877,MERBA
878,KRÜGER
879,ENSURE ADVANCE
880,PLAYADITO
881,TOBLERONE
882,HEIDI
883,SANTIVERI
884,SNACK ADVENTURE
885,SAN LORENZO
886,CARIBE
887,WERTHER´S
888,SAROTTI
889,PACARI
890,POPPIES
891,FIBER ONE
892,VICENZI
893,TÍA LÍA
894,ZUCOSOS
895,LAVAZZA
896,TIFANY
897,DE MI CAMPO
898,CACHET
899,COLMENARES
900,SPLENDA
901,GUYLIAN
902,VOORTMAN
903,DENTYNE
904,PANALES DEL SUR
905,ROSAMONTE
906,BUBBLE TAPE
907,D`AROMA
908,TROLLI
909,TAGA SWEET
910,VITALISIMO
911,SCHOGETTEN
912,NUSCO
913,BESHOS
914,ORJAS
915,PUCARÁ
916,NAKD
917,SUPER 8
918,HARIBO
919,TRITON
920,CUETARA
921,TWENTY´S
922,TERRA ANDES
923,VIVIANNE
924,MANFREY
925,ROYAL DANSK
926,GALLO
927,TRAPENSE
928,BERGGOLD
929,CLUB
930,DELICADO
931,NUTRA FOOD
932,GAROTO
933,HANUTA
934,BIG TIME
935,TCHIBO
936,ENTRELAGOS
937,GRIESSON
938,RITTER
939,BE COOKIES
940,RICOLA
941,D' STEVIA
942,MUIBON
943,BE SNACKS
944,PLAYA VENADO
945,MILKY WAY
946,MOTHER'S MAID
947,VOYAGE
948,BARONIE
949,KIMBO
950,ROCKY MOUNTAIN
951,PAVESI
952,SANIITO
953,ALTERNATIVE
954,MAJAMI
955,PRANA ON
956,HAVANNA
957,ECOMIL
958,APOQUINDO
959,FRANKONIA
960,MAÑANITA
961,MORELLI
962,VILLARS
963,BIO ZENTRALE
964,MUST
965,TIPTREE
966,CAREZZA
967,GHIRARDELLI
968,WALKERS
969,MIAMI BITES
970,CHOKITA
971,CACHAMATE
972,CBSÉ
973,HELIOS
974,QRUNCHIES
975,ILLY
976,TWIX
977,RUF
978,JULES DESTROOPER
979,SANTIAGO
980,TARAGÜI
981,MANTECOL
982,FLOPI
983,HONESTA
984,MOROCHA
985,ROCKLETS
986,CEREAL MIX
987,SPRING POP
988,AMOS
989,MELIMEL
990,ARROCITAS
991,CORNY
992,THOMAS
993,CAFFESSO
994,DALLMAYR
995,BRITT
996,AMANDA
997,SOYMILKE
998,CHINO
999,TIC TAC
1000,MENTOS
1001,MESONOT
1002,TODDY
1003,CLAIR DE LUNE
1004,MÖVENPICK
1005,CORSINI
1006,LA SELVA
1007,URSUS TROTTER
1008,TIVOLI
1009,HOREB
1010,ANDEAN VALLEY
1011,BUTTERFLY BRAND
1012,CORNY ENERGY
1013,ALTERNATURAL
1014,CHOCOFUN
1015,CORONILLA
1016,JACQUOT
1017,STORCK
1018,VILLA BAVIERA
1019,MANSILLA
1020,UNDERFIVE
1021,HUERTOS DEL LAGO
1022,MEMORABLE
1023,STARBURST
1024,AHMAD
1025,BEAR
1026,COLOMBINA
1027,SWISS MISS
1028,LHERITIER
1029,KIT KAT
1030,MAUXION
1031,TIM TAM
1032,SANTA OBLEA
1033,BOCCIA
1034,ROLAND
1035,EL LOBO
1036,TEEKENNE
1037,TRUMPF
1038,LA BOTICA DEL ALMA
1039,PUSH POP
1040,HEALTHY
1041,TEEKANNE
1042,PIRULIN
1043,TRUFFETTES
1044,GICOPA
1045,QUICKBURY
1046,KENT
1047,BELGIAN
1048,EL ALMENDRO
1049,NIEDEREGGER
1050,DE PAULINE
1051,DOÑA JIMENA
1052,NERDS
1053,PFANNER
1054,B-JAPI
1055,GOUDELIERS
1056,CÁSCARA FOODS
1057,DR. OETKER
1058,CABRALES
1059,DBT'S SABORES
1060,HAG
1061,KELSEN
1062,MAOAM
1063,GRANA
1064,TAVELLI
1065,GAVOTTES
1066,COTOSAN
1067,PHB
1068,HANSAPLAST
1069,BIOHERAPY
1070,VASELINE
1071,HIDROFUGAL
1072,BATISTE
1073,CAPILATIS
1074,BOP
1075,NATRACARE
1076,NATURALOE
1077,CLEAR
1078,NATUR VITAL
1079,HASK
1080,L'ORÉAL
1081,VITIS
1082,CANTU
1083,RITZY MASH
1084,PLAYTEX
1085,LACTOVIT
1086,DENTWELL
1087,KATIVA
1088,ARGAN DE LUXE
1089,COREGA
1090,SECRET
1091,BARZELATTO
1092,VOGUE
1093,FITTIG
1094,BABARIA
1095,FREEMET
1096,TANGLE TEEZER
1097,JOHN FRIEDA
1098,OGX
1099,TRIM
1100,BIOBRUSH
1101,YES!
1102,WELLA
1103,BISECURE
1104,ORALGENE
1105,CALA
1106,FASHY
1107,BURT`S BEES
1108,KISS
1109,THERMICA
1110,ORGANIC SHOP
1111,BACTERION
1112,REVLON
1113,JUST FOR MEN
1114,TREE HUT
1115,LOMECAN
1116,MUM
1117,LIP ICE
1118,SURYA
1119,BIORÉ
1120,IVORY
1121,SPLAT
1122,DEO PIES
1123,OREMEDIES
1124,VAGISIL
1125,MONIX
1126,NEXCARE
1127,ABIGAL
1128,BGH
1129,SUBLIME BRONZE
1130,WILLIAMS
1131,CONDOR
1132,SCUNCI
1133,NATURA SIBERICA
1134,HAWAIIAN TROPIC
1135,IMAGISPA
1136,EUCERIN
1137,BRUT
1138,GATSBY
1139,FABOPAL
1140,COLORPLEX
1141,MUNDIAL
1142,LOOKWELL
1143,GOODY
1144,PLANETA ORGÁNICA
1145,ORASTAR
1146,FLASH
1147,COESAM
1148,RIZZO
1149,FLAÑO
1150,ETIENNE
1151,BIOKAP
1152,OLAY
1153,STELLA ARTOIS
1154,CORONA
1155,COORS
1156,KUNSTMANN
1157,SOL
1158,RAMAZZOTTI
1159,CUSQUEÑA
1160,ALTO DEL CARMEN
1161,VIÑAMAR
1162,HEINEKEN
1163,VIÑA MIGUEL TORRES
1164,MULAS
1165,UNDURRAGA
1166,PATAGONIA
1167,AUSTRAL
1168,CONCHA Y TORO
1169,STONES
1170,MISTRAL
1171,APEROL
1172,INDOMITA
1173,SANTA RITA
1174,CAMPANARIO
1175,EMILIANA
1176,BUDWEISER
1177,DOÑA DOMINGA
1178,KILÓMETRO 24.7
1179,AMARANTA
1180,MISIONES DE RENGO
1181,VALDIVIESO
1182,CASILLERO DEL DIABLO
1183,TORO DE PIEDRA
1184,BODEGA UNO
1185,SABOR ANDINO
1186,JACK DANIEL'S
1187,JOHNNIE WALKER
1188,VIÑA CASA SILVA
1189,LA PIZKA
1190,VENTISQUERO
1191,GATO
1192,SANTA HELENA
1193,CARMEN
1194,MAHOU
1195,PRIMA
1196,TARAPACA
1197,VIÑA INDOMITA
1198,MILLER
1199,HORCÓN QUEMADO
1200,KROSS
1201,SCHÖFFERHOFER
1202,LEFFE
1203,CHIVAS REGAL
1204,CASTILLO DE MOLINA
1205,MIGUEL TORRES
1206,ESCUDO
1207,MITJANS
1208,RICCADONNA
1209,CRISTAL
1210,SANTA EMA
1211,VIÑA SANTA RITA
1212,VIU MANENT
1213,BRANCA
1214,OVEJA NEGRA
1215,JÄGERMEISTER
1216,ABSOLUT
1217,DISARONNO
1218,ESTRELLA DEL ELQUI
1219,KANTAL
1220,ROYAL GUARD
1221,BECKER
1222,BAILEYS
1223,VFA
1224,GOOSE ISLAND
1225,ARAUCANO
1226,ALIWEN
1227,SPIRIT
1228,VIÑA UNDURRAGA
1229,OPERA PRIMA
1230,SOMBRERO NEGRO
1231,COPAHUE
1232,BACARDI
1233,VIÑA CASTILLO DE MOLINA
1234,SINZERO
1235,TANQUERAY
1236,MARQUES DE CASA CONCHA
1237,DOLBEK
1238,SAN SIMÓN
1239,HENDRICK'S
1240,LOVELY RITA
1241,VIÑA ESPALDARES DEL MAIPO
1242,SIERRA MORENA
1243,GLENFIDDICH
1244,OLMECA
1245,MICHELOB
1246,BALLANTINE'S
1247,FRONTERA
1248,STOLICHNAYA
1249,GULDEN DRAAK
1250,SENSUS
1251,KONIGSBACHER
1252,CONO SUR
1253,VIÑA MORANDÉ
